E1   E2    con1    con2         M   
Sc   Fe     1.0     0.0    0.0000   
Sc   Fe     0.9     0.1    0.0000   
Sc   Fe     0.8     0.2    0.0000   
Sc   Fe     0.7     0.3    0.0000   
Sc   Fe     0.6     0.4    0.0000   
Sc   Fe     0.5     0.5    0.3157   
Sc   Fe     0.4     0.6    0.7056   
Sc   Fe     0.3     0.7    1.0831   
Sc   Fe     0.2     0.8    1.4793   
Sc   Fe     0.1     0.9    1.8709   
Sc   Fe     0.0     1.0    2.2604   
Ti   Fe     1.0     0.0    0.0000   
Ti   Fe     0.9     0.1    0.0000   
Ti   Fe     0.8     0.2    0.0000   
Ti   Fe     0.7     0.3    0.0000   
Ti   Fe     0.6     0.4    0.0000   
Ti   Fe     0.5     0.5    0.3813   
Ti   Fe     0.4     0.6    0.7200   
Ti   Fe     0.3     0.7    1.0835   
Ti   Fe     0.2     0.8    1.4692   
Ti   Fe     0.1     0.9    1.8739   
Ti   Fe     0.0     1.0    2.2604   
V    Fe     1.0     0.0    0.0054   
V    Fe     0.9     0.1    0.0000   
V    Fe     0.8     0.2    0.0000   
V    Fe     0.7     0.3    0.1023   
V    Fe     0.6     0.4    0.4021   
V    Fe     0.5     0.5    0.6609   
V    Fe     0.4     0.6    0.9287   
V    Fe     0.3     0.7    1.2101   
V    Fe     0.2     0.8    1.5280   
V    Fe     0.1     0.9    1.9138   
V    Fe     0.0     1.0    2.2604   
Cr   Fe     1.0     0.0    0.0000   
Cr   Fe     0.9     0.1    0.2099   
Cr   Fe     0.8     0.2    0.4110   
Cr   Fe     0.7     0.3    0.6032   
Cr   Fe     0.6     0.4    0.8018   
Cr   Fe     0.5     0.5    1.0006   
Cr   Fe     0.4     0.6    1.2169   
Cr   Fe     0.3     0.7    1.4276   
Cr   Fe     0.2     0.8    1.6438   
Cr   Fe     0.1     0.9    1.9422   
Cr   Fe     0.0     1.0    2.2604   
Mn   Fe     1.0     0.0    0.9374   
Mn   Fe     0.9     0.1    1.0767   
Mn   Fe     0.8     0.2    1.1974   
Mn   Fe     0.7     0.3    1.3231   
Mn   Fe     0.6     0.4    1.4277   
Mn   Fe     0.5     0.5    1.5350   
Mn   Fe     0.4     0.6    1.6547   
Mn   Fe     0.3     0.7    1.7944   
Mn   Fe     0.2     0.8    1.9617   
Mn   Fe     0.1     0.9    2.0906   
Mn   Fe     0.0     1.0    2.2604   
Co   Fe     1.0     0.0    1.7398   
Co   Fe     0.9     0.1    1.8227   
Co   Fe     0.8     0.2    1.9103   
Co   Fe     0.7     0.3    1.9977   
Co   Fe     0.6     0.4    2.0924   
Co   Fe     0.5     0.5    2.1752   
Co   Fe     0.4     0.6    2.2623   
Co   Fe     0.3     0.7    2.3208   
Co   Fe     0.2     0.8    2.3636   
Co   Fe     0.1     0.9    2.3330   
Co   Fe     0.0     1.0    2.2604   
Ni   Fe     1.0     0.0    0.5914   
Ni   Fe     0.9     0.1    0.7996   
Ni   Fe     0.8     0.2    1.0284   
Ni   Fe     0.7     0.3    1.2476   
Ni   Fe     0.6     0.4    1.4558   
Ni   Fe     0.5     0.5    1.6594   
Ni   Fe     0.4     0.6    1.8488   
Ni   Fe     0.3     0.7    2.0182   
Ni   Fe     0.2     0.8    2.1952   
Ni   Fe     0.1     0.9    2.3093   
Ni   Fe     0.0     1.0    2.2604   
Cu   Fe     1.0     0.0    0.0000   
Cu   Fe     0.9     0.1    0.2212   
Cu   Fe     0.8     0.2    0.5044   
Cu   Fe     0.7     0.3    0.7582   
Cu   Fe     0.6     0.4    1.0038   
Cu   Fe     0.5     0.5    1.2349   
Cu   Fe     0.4     0.6    1.4872   
Cu   Fe     0.3     0.7    1.7523   
Cu   Fe     0.2     0.8    1.9843   
Cu   Fe     0.1     0.9    2.1628   
Cu   Fe     0.0     1.0    2.2604   
Zn   Fe     1.0     0.0    0.0000   
Zn   Fe     0.9     0.1    0.1114   
Zn   Fe     0.8     0.2    0.3266   
Zn   Fe     0.7     0.3    0.5486   
Zn   Fe     0.6     0.4    0.7809   
Zn   Fe     0.5     0.5    1.0267   
Zn   Fe     0.4     0.6    1.2862   
Zn   Fe     0.3     0.7    1.5524   
Zn   Fe     0.2     0.8    1.8440   
Zn   Fe     0.1     0.9    2.0763   
Zn   Fe     0.0     1.0    2.2604   
